;"ANEXO 6.2 - INSTRUÇÃO PARA DESCRIÇÃO DA NÃO-CONFORMIDADE
A descrição da não-conformidade deve conter as seguintes informações:
1- Informações do Produto não-conforme (Nome, PN, N/S, Lote,OC, Qtde,..);
2 - Localização da não-conformidade;
3 - Especificação de Projeto (Valores especificados em desenhos e/ou Normas de Engenharia);
4 - Detalhamento da não-conformidade (Valores/dimensões encontradas);
5 - Participantes da Análise Preliminar (Nesse campo deve ser reprotado o nome completo do participante e sua respectiva área de atuação)
OBS: Válido para todas as Tecnologias (Ex: Usinagem, Interiores, Estruturas, Equipamentos, etc).";;;"Emprego de fotos ou croquis usando o GBI. 
R = Requerido 
O = Opcional 
O(*) = Classificação igual Fornecedor ou não-conformidades entre sites é requerido anexar fotos para problemas que afetam o aspecto visual  e croquis para desvios dimensionais. Em caso de problemas funcionais (exemplo: atrito, vazamento, ruído, etc) anexar vídeo para melhor visualização / entendimento do problema.
N/A = Não-aplicável ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#;Tipo de Não-Conformidade;"Informações que caracterizam a NC 
(Deve ser inserido no tópico ""detalhamento da NC"") ";"Norma de Engenharia 
""NE"" ou procedimento 
interno ""doc.emb"" quando aplicável. Para fornecedores D&B não utilizar as NEs.";Nota CD Quarentena;"Nota CD 
(Demais Aplicativos) ";"Nota CD 
(Retrabalho ou 
reparo-padrão) ";"Código do Problema 
(doc.emb 356)";Ações Complementares ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Afundamento / Mossa / Amassamento / Ondulação / Vinco ;"1) Distância em relação aos prendedores adjacentes; 
2) Distâncias de referências ao local afetado (Somente para 
área de Usinagem. Estamparia e Trat. Superficial); 
3) Espessura da região afetada; 
4) Valor de (H x L) encontrado; 
";"NE07-038 
 NE03-071 
 NE03-063 
 NE03-007";O(*) ;R;O(*) ;CPROB06-0005 ;Reportar se é previsto calço em Projeto na região afetada;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;Ajuste excessivo ;"1) Dimensão do dano: Largura de material removido e 
Comprimento da área afetada; 
2) Distância de borda, caso a região obter furos; 
3) Diâmetro do furo (Quando aplicável); 
4) Reportar se haverá problemas nas próximas 
montagem (Informação opcional) - Socilitar apoio do 
processo local.";"NE 20-038 
(Item 9.10) ";O(*) ;R;O(*) ;"CPROB04 
(Dimensões e Medidas) 
ou CPROB11 (Montagem)";N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;Assimetria ;1) Informar o valor atual com os dados da planilha.;"NE02-046 
NE02-044";O(*) ;R;O;CPROB03-0005 ;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;Atualização (up grade) de Equipamento ;"1) Incluir número da Ordem de Engenharia (OE) e responsável pela evolução (up-grade) do equipamento/produto;
2) Informar PN e SN contidos na OP ou OM sendo pago;
3) Informar TSN e CSN da peça removida (se aplicado);
4) Informar para qual o PN será atualizado.
5) Informar o solicitante (Ex: EMBRAER ou fornecedor).";N/A ;O(*) ;O;N/A;CPROB03-0055;Utilizar o APLIC009 e definição de CTO conforme solicitante.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;Cablagem sem continuidade e/ou isolacao / ligação invertida ;"1) Informar sigla do conector ou do componente afetado.
2) Incluir  Foto do contato/ Prensagem                                                                                 3) Informar pino ou n° do fio.
4) Verificar Ponto a Ponto

Ex.: Conector P1000, Pino 10
Ex.: Conector P1000, Fio W202-02248-22";"NE07-038 
 NE03-071 
 NE03-063 
 NE03-007";O;R;R;CPROB01-0030 ;"Informar o PN e LOTE da Cablagem afetada
Obrigatório emprego de fotos

";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Canibalização ;2) Incluir  Foto do contato/ Prensagem                                                                                 3) Informar pino ou n° do fio.;N/A ;O(*) ;R;O;"CPROB03-0015 
";N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;Clad afetado ;4) Verificar Ponto a Ponto;N/A ;O(*) ;R;O;CPROB19-0055 ;"No ambiente de fabricação: Material Composto, Usinagem, Estamparia e Trat. Superfície, devem ser informados no campo ""Detalhamento da Não-Conformidade"": a) Causa da não-conformidade (Ex.: lixamento para eliminar risco, marcas, etc.)
Informar tipo da marca (Ex: Marca gerada por impacto de ferramento com remoção de material)";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;Componente solto (FOE);;N/A ;O(*) ;N/A ;O(*) ;CPROB01-0030 ;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;Comprimento / Largura / Altura (Dimensional);"1) Informar medida da cablagem ou da ramificação com comprimento incorreto.*
2) Informar medida de projeto da cablagem. (Avaliar DI de Instalação X DMU de fabricação)*
*especifico para Fabricação da Cablagem
";"Doc.Emb 3829
NE80-076";O;R;O;CPROB04-0010 ;Obrigatório emprego de fotos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
